company,number,symbol,ytd_return
"Robinhood Markets, Inc.",1,HOOD,268.52
Western Digital,2,WDC,170.73
Newmont,3,NEM,154.30
Seagate Technology,4,STX,148.20
Micron Technology,5,MU,147.15
Palantir Technologies,6,PLTR,140.28
Lam Research,7,LRCX,99.86
Advanced Micro Devices,8,AMD,99.42
Intel,9,INTC,90.61
Amphenol,10,APH,84.88
NRG Energy,11,NRG,84.13
CVS Health,12,CVS,83.74
GE Aerospace,13,GE,83.26
KLA Corporation,14,KLAC,83.21
Supermicro,15,SMCI,81.70
GE Vernova,16,GEV,80.99
Corning Inc.,17,GLW,79.51
"Tapestry, Inc.",18,TPR,78.51
Monolithic Power Systems,19,MPWR,76.58
Howmet Aerospace,20,HWM,75.32
AppLovin Corporation,21,APP,75.13
Warner Bros. Discovery,22,WBD,74.42
Oracle Corporation,23,ORCL,66.81
Constellation Energy,24,CEG,66.14
Paramount Skydance Corp,25,PSKY,62.14
DoorDash,26,DASH,58.34
TE Connectivity,27,TEL,58.08
Idexx Laboratories,28,IDXX,55.66
eBay,29,EBAY,55.64
Uber,30,UBER,55.38
"EMCOR Group, Inc.",31,EME,54.22
Interactive Brokers Group,32,IBKR,51.62
Broadcom,33,AVGO,50.97
Huntington Ingalls Industries,34,HII,50.29
Cencora,35,COR,48.76
CrowdStrike,36,CRWD,47.19
Caterpillar Inc.,37,CAT,46.69
Ralph Lauren Corporation,38,RL,44.23
Jabil,39,JBL,43.11
HCA Healthcare,40,HCA,42.28
United Rentals,41,URI,42.04
Take-Two Interactive,42,TTWO,42.02
Vistra Corp.,43,VST,41.88
Wynn Resorts,44,WYNN,41.82
BNY Mellon,45,BK,41.22
Citigroup,46,C,41.12
Welltower,47,WELL,40.96
Dollar General,48,DG,40.53
Johnson Controls,49,JCI,40.24
Applied Materials,50,AMAT,40.24
Quanta Services,51,PWR,40.01
Netflix,52,NFLX,39.65
RTX Corporation,53,RTX,39.19
Coinbase Global,54,COIN,38.92
L3Harris,55,LHX,38.89
McKesson Corporation,56,MCK,38.04
Aptiv,57,APTV,37.99
Estée Lauder Companies (The),58,EL,37.80
Electronic Arts,59,EA,37.07
Allegion,60,ALLE,36.18
Nvidia,61,NVDA,36.08
Alphabet Inc. (Class A),62,GOOGL,35.67
Alphabet Inc. (Class C),63,GOOG,35.19
Johnson & Johnson,64,JNJ,33.84
Gilead Sciences,65,GILD,33.65
Hasbro,66,HAS,33.50
Monster Beverage,67,MNST,33.46
Cardinal Health,68,CAH,33.15
Leidos,69,LDOS,33.01
Arista Networks,70,ANET,32.93
Marathon Petroleum,71,MPC,32.87
Goldman Sachs,72,GS,32.81
Dollar Tree,73,DLTR,32.19
Royal Caribbean Group,74,RCL,31.45
Philip Morris International,75,PM,31.40
Valero Energy,76,VLO,31.14
AbbVie,77,ABBV,30.73
Invesco,78,IVZ,30.52
First Solar,79,FSLR,30.38
TKO Group Holdings,80,TKO,30.21
IBM,81,IBM,29.24
Verisign,82,VRSN,29.03
Morgan Stanley,83,MS,28.92
Charles Schwab Corporation,84,SCHW,28.62
Dell Technologies,85,DELL,28.50
American Electric Power,86,AEP,27.95
General Dynamics,87,GD,27.93
Exelon,88,EXC,27.87
Entergy,89,ETR,27.81
Insulet Corporation,90,PODD,27.80
Evergy,91,EVRG,27.77
Steel Dynamics,92,STLD,27.75
Atmos Energy,93,ATO,27.68
O'Reilly Auto Parts,94,ORLY,27.60
Quest Diagnostics,95,DGX,27.56
Northrop Grumman,96,NOC,27.45
Eversource Energy,97,ES,27.27
LabCorp,98,LH,26.90
Xylem Inc.,99,XYL,26.82
CenterPoint Energy,100,CNP,26.73
Generac,101,GNRC,26.59
JPMorgan Chase,102,JPM,26.34
Archer Daniels Midland,103,ADM,25.29
Meta Platforms,104,META,25.12
Bunge Global,105,BG,25.05
Incyte,106,INCY,24.80
WEC Energy Group,107,WEC,24.60
W. R. Berkley Corporation,108,WRB,24.38
Norfolk Southern Railway,109,NSC,24.32
Jacobs Solutions,110,J,24.01
Altria,111,MO,23.41
Rockwell Automation,112,ROK,23.24
Teledyne Technologies,113,TDY,23.21
Northern Trust,114,NTRS,23.14
EQT Corporation,115,EQT,23.04
Microsoft,116,MSFT,22.65
Boeing,117,BA,22.50
Wells Fargo,118,WFC,22.37
C.H. Robinson,119,CHRW,22.20
CBRE Group,120,CBRE,21.83
Martin Marietta Materials,121,MLM,21.82
Ventas,122,VTR,21.53
Globe Life,123,GL,21.50
